Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
560,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
570,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
580,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
590,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
600,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
610,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
620,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
630,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
640,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
650,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
660,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
670,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
680,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
690,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
700,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
710,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
720,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
730,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
740,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
750,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
760,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
770,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
780,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
790,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
800,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
810,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
820,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
830,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
840,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
850,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
860,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
870,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
880,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
