Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
4780,81.25,30.0,60.714285714285715,33.33333333333333,86.36363636363636,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4790,81.25,30.0,60.714285714285715,33.33333333333333,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,81.25,30.0,60.714285714285715,33.33333333333333,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4810,81.25,30.0,60.714285714285715,33.33333333333333,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4820,81.25,30.0,60.714285714285715,33.33333333333333,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4830,81.25,30.0,60.714285714285715,33.33333333333333,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4840,81.25,30.0,60.714285714285715,33.33333333333333,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4850,81.25,30.0,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4860,81.25,30.0,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4870,81.25,30.0,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4880,81.25,30.0,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4890,81.25,30.0,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4900,81.25,30.0,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4910,81.25,27.5,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920,81.25,27.5,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4930,81.25,27.5,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4940,81.25,27.5,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4950,81.25,27.5,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4960,81.25,27.5,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4970,81.25,27.5,60.714285714285715,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4980,72.91666666666667,27.5,57.142857142857146,26.666666666666664,81.81818181818181,27.777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
