Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
6200,50.0,25.0,50.0,14.285714285714286,25.0,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6210,50.0,25.0,50.0,14.285714285714286,25.0,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6220,50.0,25.0,50.0,14.285714285714286,25.0,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6230,50.0,25.0,50.0,14.285714285714286,25.0,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6240,50.0,25.0,50.0,14.285714285714286,25.0,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6250,50.0,25.0,50.0,14.285714285714286,25.0,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6260,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6270,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6280,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6290,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6300,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6310,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6320,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6330,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6340,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,33.33333333333333,33.333333333333336
6350,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6360,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6370,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6380,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
6390,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,50.0,0.0,0.0,0.0,33.333333333333336
